Equity,PE,PB,PEG,Free_CASH,SI_INT,DIV_PAY,QUICK_RATIO,ALT_SCORE,MKT_TO_BOOK,DEBT_TO_EBITBA,M3_LOW_VOL
AA,13.6303,0.9526,4.762,3.8061,5.65,,0.6254,1.3175,0.9526,4.0839,FALSE
AXP,9.7721,2.4669,1.147,18.3494,1.83,32.4548,,,2.5057,4.9861,FALSE
VZ,12.5964,12.4342,2.43,10.3192,2.24,38.9538,0.5214,2.364,12.4211,2.2453,FALSE
BA,12.9219,12.5096,1.215,8.5581,2.73,59.5757,0.4161,2.2395,12.5726,1.0742,FALSE
RCL,14.125,1.839,0.423,2.2302,2.06,40.178,0.084,1.6999,1.8559,5.0925,FALSE
CAT,14.7041,2.5139,1.97,8.9703,5.94,,0.838,1.5446,2.5135,6.0446,FALSE
JPM,10.1116,0.9295,1.366,35.3372,1.18,33.5371,,,0.934,,FALSE
CVX,24.4566,1.0223,0,-6.4882,2.09,,0.9141,2.0886,1.0219,2.2273,FALSE
EME,15.5376,1.7836,1.094,8.5718,4.71,9.9569,1.3063,5.4852,1.832,0.8828,FALSE
LII,19.5421,50.3161,0.92,5.0853,5.18,144.3214,0.5603,4.3903,50.7405,2.0209,FALSE
KO,20.901,7.3268,3.649,4.2246,1.96,117.114,0.8853,2.956,7.3691,4.1328,TRUE
DIS,16.767,3.5703,1.788,4.3335,3.5,40.7757,0.7767,4.5624,3.4266,1.1647,FALSE
DD,22.1479,5.2767,2.366,1.5204,2.98,,1.0479,2.4,5.2787,1.928,FALSE
XOM,20.4833,1.9484,2.443,1.1448,2.63,109.8561,0.314,2.6661,1.9517,1.2508,FALSE
GE,23.9214,2.6992,1.969,4.4666,2.61,88.7663,1.2318,1.1294,2.7161,22.1936,FALSE
HPQ,3.3361,0,1.158,17.2271,1.88,23.9722,0.7991,2.7206,-3.2324,2.8253,TRUE
HD,21.0535,22.5701,1.315,5.3984,1.56,68.3077,0.4655,5.5605,22.8564,0.8868,FALSE
IBM,8.2433,8.4012,1.371,11.0731,4.41,28.2735,1.0373,5.781,8.4393,2.1146,FALSE
JNJ,17.2175,3.9486,2.58,5.5799,2.75,65.3958,1.7699,5.7756,3.9655,0.9324,FALSE
ANGO,36.2571,0.6613,1.049,8.8108,7.28,,1.2271,3.2929,0.6639,5.4682,FALSE
MCD,23.5169,14.9698,2.212,4.2915,3.99,67.4764,3.0451,3.7146,15.1585,2.7723,FALSE
MRK,23.7697,3.0603,1.82,8.0341,2.41,100.876,1.0369,2.8277,3.0739,1.9929,FALSE
MMM,20.0422,8.0533,2.061,5.1462,2.15,60.501,0.8528,5.8612,8.1376,1.2883,FALSE
BAC,8.4011,0.5414,0.388,0,0.38,17.2978,,,0.543,,FALSE
PFE,16.5047,2.7776,2.382,7.3064,3.3,280.6364,1.0703,2.2027,2.7767,2.2951,FALSE
PG,21.0226,3.6903,2.769,5.3836,2.66,67.3998,0.5927,3.6309,3.6903,2.1397,FALSE
T,15.1452,1.8359,3.382,8.0971,3.23,73.8692,0.4528,1.8717,1.838,2.7048,FALSE
TRV,9.7016,1.3282,1.302,10.5288,3.3,21.2791,,,1.3655,,FALSE
SBRA,14,0.9526,6.188,12.1989,2.43,120.2204,,,0.9519,7.0002,FALSE
TKR,30.4215,1.7574,0,11.1286,3.63,,1.1561,2.66,1.8171,,FALSE
UTX,13.4329,2.6733,1.487,6.16,5.14,,0.7838,3.0896,2.8286,2.1768,FALSE
WMT,14.8555,2.6161,41.557,7.5534,2.57,47.6059,0.1703,4.4597,2.6161,1.5107,FALSE
CSCO,11.5434,1.8798,1.128,10.9541,1.23,34.8273,0.2217,3.7689,1.8888,1.4909,FALSE
INTC,12.2381,2.1962,1.346,8.5596,2.92,31.3667,1.9212,3.4332,2.1934,0.9981,FALSE
MSFT,20.5431,5.0865,1.993,6.0472,1.14,56.9428,2.7472,4.1743,5.0765,1.9858,FALSE
AIN,18.761,2.2849,1.035,4.1491,2.59,14.483,2.6261,2.8883,2.2836,2.1424,FALSE
C,6.4718,0.54,0.588,32.387,0.92,4.8296,,,0.5447,11.9865,FALSE
OA,16.8507,2.5459,1.169,0,2.95,,1.9466,2.7849,2.5459,,FALSE
AIG,26.0336,0.6958,1.082,4.3029,1.05,,,,0.7209,,FALSE
HON,15.8014,4.3284,1.699,5.4802,1.53,38.4607,0.7549,4.3328,4.33,1.565,FALSE
ATO,22.6911,2.2087,3.58,-1.7046,1.83,41.9396,0.3537,1.359,2.2093,3.505,TRUE
MO,21.5,41.1408,2.514,4.7091,1.77,88.5725,0.3522,4.928,41.1538,1.5047,TRUE
SAIA,12.7674,1.6129,0,8.2018,4.17,0,0.8795,3.6994,1.6126,0.445,FALSE
BOH,16.7096,2.3765,1.735,8.2959,10.15,45.494,,,2.377,,FALSE
BGG,14.7284,1.6618,0.789,9.9359,9.94,46.6201,0.5734,3.1173,1.6453,2.5438,FALSE
